title	description
Quincy	This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.
Rafinha Bastos: Ultimatum	An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.
The Good Cop	When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.
Mad World	A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.
Mobile Suit Gundam UC	When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.
The Bund	After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.
The Endless	As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.
Transformers: Rescue Bots	Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.
Class Rank	When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.
The Witch	Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid.
As Above, So Below	A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.
Mini Wolf	Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure – even if it includes a little bit of mischief.
Scott Pilgrim vs. the World	Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.
Al Hayba	In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.
Arisan 2	A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.
Cabins in the Wild with Dick Strawbridge	Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.
Cardboard Gangsters	A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path.
Eeda	Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
Galih dan Ratna	Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.
Gie	Indonesian activist Soe Hok Gie experiences a political awakening during the tumultuous regimes of Suharto and Sukarno. Inspired by true events.
How to Live Mortgage Free with Sarah Beeny	Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.
Inside The Freemasons	Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.
Jugaad	Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents.
Red Oleanders Raktokarobi	When a theater group stages a production of a Rabindranath Tagore play, they begin to notice parallels between the story and their own lives.
Samantaral	On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years.
The Secret	Learning that her father has married a woman her own age, Kanaya leaves home, only to get into an accident that lands her in a haunted hospital.
American Vandal	A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.
Bangkok Hell	When offered a deal to snitch on fellow prisoners, an inmate faces a tough dilemma: act in his own interest, or help those who may need him.
Behind the Newsroom	Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.
Bleach	When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first.
Boca Juniors Confidential	Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club.
Car Masters: Rust to Riches	The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.
Ingobernable	The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.
Norm Macdonald Has a Show	Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
Still	A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines.
Super Monsters Monster Party	Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!
The Angel	As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.
The Land of Steady Habits	After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.
The Rise of Phoenixes	When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.
Reversing Roe	Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.
Zak Storm	Teen surfer Zak Storm is mysteriously transported to the Bermuda Triangle, where he becomes the captain of a magical ship full of misfits.
Life	At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.
On My Skin	Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events.
Daniel Sloss: Live Shows	Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.
If I were an Animal	Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood.
The Resistance Banker	Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance.
My Teacher, My Obsession	When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.
Show Me the Money	Four ordinary family members find their lives turned upside down when they become overnight millionaires thanks to an unlikely benefactor.
Transformers Prime	With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.
Transformers: Robots in Disguise	When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.
Castle of Stars	As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.
City of Joy	Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.
First and Last	Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
Laddaland	When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.
Marvel's Iron Fist	Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.
Next Gen	When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.
Sierra Burgess Is A Loser	A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
Stretch Armstrong & the Flex Fighters	Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.
The Most Assassinated Woman in the World	In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.
Hell and Back	When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.
Once Upon a Time	In this fantasy series, a young woman is drawn to a small Maine town and discovers that it's filled with elements of the fairy tale world.
PK	Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
ATM	When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.
Bangkok Traffic (Love) Story	After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.
I Fine... Thank You... Love You	Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.
One Day	When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.
Phobia 2	From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.
Shutter	After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.
Suckseed	When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.
Black Panther	T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.
Man Up	A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.
Lovesick	Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
The Debt Collector	A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.
Maynard	Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.
Monkey Twins	Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.
Quantico	When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her.
Age of Rebellion	At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.
Barça Dreams	Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.
Brick	Teenage loner Brendan Fry navigates his high school's intense social network to discover a killer's identity after his secret crush is murdered.
Carbon	On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.
Delirium	A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
Garbage	The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.
Hope Aur Hum	A multigenerational household navigates daily life, evolving relationships and clashes between old and new mindsets in this light family drama.
Love and Shukla	A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.
Murder Party	"A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party."""
Once Again	After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.
Pee Mak	Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.
Sisters	Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.
Solo Con Tu Pareja	A yuppie playboy looks for a quick death after being falsely diagnosed with AIDS by a nurse who was once cheated by the young Casanova.
Sparring	A middle-aged boxer with a mixed record becomes a champion's sparring partner while dreaming of one last chance to end his career with a victory.
Stephanie	A menacing, unseen force stalks a young girl living by herself in a suburban house, where she's surrounded by reminders of her once-happy family.
Terrifier	On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.
The Keeping Hours	Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home.
The Perfect Day	French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final.
The Promise	In the wake of the 1997 financial crisis, two teens whose families face bankruptcy make a suicide pact – but one of them breaks the promise.
The River Wild	A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.
The Road to Calvary	Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.
Cathedral of the Sea	In 14th-century Barcelona, a serf's determined climb to wealth and freedom incurs the disdain of the noble class and the suspicion of the Inquisition.
Chennai Express	What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
Inside the Criminal Mind	Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.
Justice, My Foot!	Slick lawyer Sung fears he's been cursed with bad karma and considers giving up his practice – until he's approached by a widow accused of murder.
Ozark	A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.
Paradise PD	An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.
Prince Charming	Two young buddies seek love in Hawaii, and upon returning home in disappointment, soon entangle themselves in a messy identity swap.
The Comedy Lineup	A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.
The Laws of Thermodynamics	A physicist uses the laws of thermodynamics to describe romance and relationships, but his theories prove faulty when it comes to his own love life.
Ultimate Beastmaster	In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.
Ultimate Beastmaster México	Competitors representing countries from around the world battle it out on a grueling obstacle course. Luis Ernesto Franco and Inés Sainz host.
Undercover Law	Female intelligence agents infiltrate the disparate aspects of a Colombian cartel in an attempt to take down the drug lords and their associates.
Yeh Meri Family	In the summer of 1998, middle child Harshu balances school, family, friendship and other challenges of growing up.
The Surrounding Game	Teens in America dedicate themselves to the Asian game of Go, which originated in ancient China, drawing meaningful life lessons along the way.
Be-Be-Bears	Bear buddies Bucky and Bjorn play games, go on far-out adventures and learn about wondrous new things together.
Inequality for All	Former U.S. Labor Secretary Robert Reich makes a compelling case about the serious crisis the U.S. faces due to the widening economic gap.
Conjuring Spirit	In the wake of her husband's betrayal, a novelist and mother moves to an old building, where she receives a music box and encounters a strange spirit.
Naam Shabana	A fiery young woman accepts help from a spy agency to avenge her lover's murder. In return, she must prove herself as one of their top recruits.
Qarib Qarib Singlle	After reluctantly joining a dating app, a 35-year-old widow accompanies an easygoing poet on a trip to visit three of his exes.
Spyder	When an Intelligence Bureau officer’s phone-tapping day job leads him to a serial killer, he must track down and thwart the murderer’s next steps.
A Leaf of Faith	This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.
Chicken Soup for the Soul's Being Dad	Nine dads around America with different family structures, backgrounds and jobs navigate the joys and challenges of fatherhood.
May We Chat	A messaging app unites a mute prostitute, an unruly rich girl and a stormy young woman, three Hong Kong teens living in pain and excess.
Hank: Five Years from the Brink	"From Joe Berlinger, director of the ""Paradise Lost"" trilogy, comes this documentary about controversial former U.S. Treasury Secretary Henry Paulson."
Head On	This edgy drama follows 19-year-old Ari, a gay Greek-Australian whose roiling ethnic- and sexual-identity struggles lead to a wild, 24-hour odyssey.
InuYasha the Movie: Affections Touching Across Time	A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.
Maria Bamford: The Special Special Special	Spend an evening with gleeful, oh-so-awkward Maria Bamford via her cozy, shot-at-home comedy special, which has a two-person audience: her parents.
Nymphomaniac: Volume II	The second half of Lars von Trier's epic follows Joe as her reignited sex addiction destroys her family and thrusts her toward a surprising new trade.
Bert Kreischer: Secret Time	Shirtless comic Bert Kreischer relays personal secrets and stories about being a cool – if not always responsible – dad in this stand-up special.
El Cartel	One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by Andrés López López.
El Cartel 2	Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police.
GHOUL	When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival.
One Last Shot	In this low-budget short film, two best buddies meet up for a night of booze-fueled fun before one of them moves to Vancouver.
Take My Brother Away	Bickering siblings Shi Miao and Shi Fen tackle friendship matters, school drama and the pitfalls of growing up with little parental supervision.
The After Party	An aspiring rapper and his best friend/manager have one night to bounce back from embarrassment and make their dreams of hip-hop stardom come true.
The Drunk and on Drugs Happy Funtime Hour	A variety-show production trips up big time when the cast members take their roles to new heights, and the line between fact and fiction blurs.
The Innocents	Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.
The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe	This colorful documentary explores the origins and impact of He-Man, a character whose power stretched well beyond a toy line and children's TV show.
Deadwind	Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.
Elephants Dream 4 Hour	Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short.
The Lodgers	Twin siblings live under a curse in their ancestral home, but one of them is tempted to defy house rules, angering the spirits keeping them hostage.
Bareilly Ki Barfi	When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection.
Mersal	A detective arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic.
Mom	After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.
Pad Man	Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford.
Toilet: Ek Prem Katha	On her first day of marriage, a woman leaves her husband upon learning his home lacks a toilet, sparking a quixotic quest to acquire modern sanitation.
Leo & Tig	Spunky leopard cub Leo and his loyal tiger pal Tig team up for fun and adventure as they explore the forest and learn about ancient legends.
Attitude Test	"Four high school seniors steal an important college entrance exam and go on vacation to ""study,"" but accidentally lose the exam while partying."
Barrio Universitario	Four friends from a humble technical school compete against the elite students of a prestigious university in a robot-building contest.
Héroes	When an earthquake hits Chile, rescue workers must put aside their differences to save the country from a businessman's evil scheme.
The Investigator: A British Crime Story	This show sheds new light on the decades-old case of Carole Packman, whose husband was convicted of her murder, even though her body was never found.
Alejandro Sanz: What I Was Is What I Am	A retrospective look at the life and career of Grammy-award winning Spanish musician Alejandro Sanz.
Peter Rabbit	In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden.
Save Our Shelter	Pet rescue expert Rocky Kanaka and renovation specialist Rob North travel across North America, transforming animal shelters to help homeless pets.
Magic for Humans	From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.
Party Monster: Scratching the Surface	"In the probing documentary ""Party Monster,"" DJ Fingablast investigates what became of his childhood hero, DJ Slizzard."
Same Kind of Different as Me	A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
Stay Here	Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.
The Motive	An aspiring writer with no imagination seeks inspiration for his novel by manipulating the lives of his neighbors so that he can write about them.
To All the Boys I’ve Loved Before	When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down.
Ultraviolet	An online community of amateur sleuths use technology to solve crimes – and make quirky friends – in their quest for justice.
Yoo Byung Jae: Discomfort Zone	Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.
Bhavesh Joshi Superhero	When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice.
Casino Tycoon 2	Casino mogul Benny Ho wields enormous power. But a feud with his former partner and a massive fraud scheme soon threaten his family and his empire.
Disciples Of The 36th Chamber	"Shaolin monk San Te returns to protect a fellow hero with a talent for finding trouble in this action-packed sequel to ""The 36th Chamber of Shaolin."""
Legendary Weapons of China	Three assassins – magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan – are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe.
Lifeline	Johnnie To's character-centered drama follows a Hong Kong firefighting crew as they take on harrowing rescue missions and navigate personal dilemmas.
Look Out, Officer	An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic.
Love on Delivery	To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.
Loving You	Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded.
Mahjong Heroes	In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.
Martial Arts of Shaolin	In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.
Mr. Virgin	When a young man ignores a feng shui master’s warning and decides to marry before turning 30, a series of mishaps begins to curse his life.
My Schoolmate, the Barbarian	A brainy private school student is transferred to a far less elite institution, where he must fend off classmates who settle scores with fistfights.
Oh My Ghost 3	After a body is discovered in their building, a vengeful, paranormal presence begins to affect Taew, Mod Dum and Cartoon's business.
Opium and the Kung Fu Master	Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction.
Painted Faces	In this dramatized rendition, students undergo rigorous study at Master Yu's Peking Opera school, a cradle for future Hong Kong film stars.
Return To The 36th Chamber	When thugs prey upon innocent factory workers, a small-time scammer trains for revenge by studying the moves of Shaolin temple monks.
Shark Busters	Hit by a media storm over his own mounting debts, a police officer leads an investigation against the loan sharks behind a sinister credit scheme.
Sword Masters: Two Champions of Shaolin	Shaolin warrior Tung Chien-chen is injured in battle against the hated Wu Tang clan, and nursed back to health by a knife-throwing master. As he recovers, Tung learns this deadly art, and also falls in love with his teacher's daughter.
The Bare-Footed Kid	While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.
The Mad Monk	To avoid punishment for his misdeeds, an arrogant god accepts a mission to reform three mortals on earth, where he must also contend with a demon.
The Young Vagabond	To avenge his master, a wine-loving young man steps up his fighting skills to defeat a powerful thief in a life-or-death match.
Wish I Was Here	With his acting career moribund, Aidan Bloom steers a new tack in life, taking over his children's education when private school becomes too costly.
Adventures in Public School	After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go.
Bioscope	Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films.
For Here or to Go?	A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
Hostiles	After a long career battling the Cheyenne, a U.S. Army captain is ordered to safely escort the tribe's most influential chief to his Montana homeland.
Hurricane Bianca: From Russia With Hate	When Texas teacher Richard is lured to Russia under false pretenses by his enemy Deb, his drag alter ego Bianca soon turns the country upside down.
Nuestra Lucha Libre	This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more.
The Creative Indians	From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.
What's Your Raashee?	To protect his family from ruin, Yogesh must marry his dream girl in only ten days, so he rushes into dating women with different astrological signs.
Splash and Bubbles	Curious pals Splash, Bubbles, Dunk and Ripple have fun exploring new places, making new friends and learning all about their amazing ocean home.
72 Dangerous Animals: Asia	From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?
Afflicted	Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.
All About the Washingtons	Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.
Beyond the Clouds	A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.
The Birth Reborn	Mothers and medical professionals speak about their experiences with the increasingly controversial practice of Caesarean deliveries in Brazil.
The Guernsey Literary and Potato Peel Pie Society	A London writer bonds with the colorful residents of Guernsey as she learns about the book club they formed during the WWII German occupation.
The Package	After their buddy suffers an unfortunate accident during spring break, four pals risk everything – including their dignity – to make him whole again.
Zion	Born without legs and stuck in foster care for years, teen Zion Clark finds his calling when he pursues competitive wrestling. A documentary short.
Perdida	A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.
The Most Unknown	Traversing disciplines from physics to psychology, nine scientists share ideas and seek common ground by delving into deep existential questions.
The Originals	"The Mikaelsons move to New Orleans and form an alliance with local witches in an effort to rule the city once again in this ""Vampire Diaries"" spinoff."
Enemigo íntimo	Siblings separated as children who no longer recognize each other are pitted against each other in a war involving drugs, crime and betrayal.
Pretty Man	Doomed by misunderstandings, two middle-school classmates miss their shot at love – but a twist of fate brings them together years later.
On Children	These uncanny tales reveal a world where individuals face the tragic consequences of social pressure, parental oppression and family dysfunction.
2 States	Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.
Baaghi	A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.
Brij Mohan Amar Rahe	Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan – until he was sentenced to death for his own murder.
Flavors of Youth: International Version	Memories in a bowl of steaming noodles, a fading beauty finding her way and a bittersweet first love – all in these stories of city life in China.
Cocaine Coast	In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point.
Dinotrux Supercharged	Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.
I AM A KILLER	Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.
Like Father	After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.
Marching Orders	A top-ranked college marching band’s members fight to keep their spots, memorize routines, tend to their social lives – and slay the competition.
7 Khoon Maaf	Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.
Chillar Party	Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.
Concussion	A lesbian housewife, feeling trapped in a stale marriage, begins visiting female prostitutes and soon seeks excitement by becoming a sex worker.
Emelie	A suburban couple hires a new sitter to watch their three kids for the night, unaware that the young woman isn't who she claims to be.
Fashion	A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
Fitoor	A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
Fiza	Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return.
Forever Chape	In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.
Guzaarish	After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.
Haider	Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
Highway	City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.
I Hate Luv Storys	This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.
Joker	A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.
Khosla Ka Ghosla	A cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who's stolen his prized property.
Main aurr Mrs. Khanna	A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble.
Mohenjo Daro	A courageous villager moves to the ancient city of Mohenjo Daro, where he falls for the daughter of a priest and does battle with a tyrant.
On the Wrong Track	Two rebellious, hot-headed teenage brothers get caught up in gang life, which has dangerous repercussions for their family and friends.
Raajneeti	When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.
Rang De Basanti	An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.
Rowdy Rathore	A con man uncovers a deadly secret and must save his lady love, the little girl who insists she's his daughter and the small-town locals from the mob.
Tamasha	Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.
Tees Maar Khan	A flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train.
Tere Naal Love Ho Gaya	Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father.
Thank You	Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.
The Blue Umbrella	A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss.
Bean: The Ultimate Disaster Movie	Disaster-prone Mr. Bean is sent to Los Angeles to guard a famous painting, but as he's unfit for any physical task, everything goes hilariously wrong.
Becoming Champions	This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.
Being Napoleon	On the 200th anniversary of the Battle of Waterloo, thousands of enthusiasts reenact the epic clash. But there can only be one Napoleon.
Casino Tycoon	When Japanese troops invade Hong Kong, young Benny Ho flees to Macau and rises to the top of the city's casino business with pluck, diligence and wit.
Chernobyl Diaries	A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps...
Doubles Cause Troubles	When the tenant in their flat dies under suspicious circumstances, two bickering cousins are forced to navigate both sides of the law.
